latitude,longitude
52.3331,4.939312
52.33311,4.941716
52.33311,4.944119
52.33312,4.946523
52.33313,4.948926
52.33314,4.95133
52.33315,4.953734
52.33316,4.956138
52.33317,4.958541
52.33318,4.960945
52.33318,4.963349
52.33319,4.965752
52.3332,4.968156
52.33321,4.97056
52.33322,4.972963
52.33323,4.975367
52.33408,4.823919
52.33409,4.826323
52.3341,4.828727
52.33411,4.831131
52.33412,4.833534
52.33413,4.835938
52.33414,4.838341
52.33416,4.840745
52.33417,4.843149
52.33418,4.845552
52.33419,4.847956
52.3342,4.85036
52.33421,4.852764
52.33422,4.855167
52.33423,4.857571
52.33424,4.859974
52.33425,4.862378
52.33426,4.864782
52.33427,4.867186
52.33429,4.869589
52.33429,4.871993
52.3343,4.874397
52.33432,4.876801
52.33433,4.879204
52.33434,4.881608
52.33435,4.884012
52.33436,4.886415
52.33437,4.888819
52.33438,4.891223
52.33439,4.893626
52.3344,4.89603
52.33441,4.898434
52.33442,4.900837
52.33443,4.903241
52.33444,4.905645
52.33445,4.908049
52.33446,4.910452
52.33447,4.912856
52.33448,4.91526
52.33448,4.917664
52.3345,4.920067
52.3345,4.922471
52.33451,4.924875
52.33452,4.927279
52.33453,4.929682
52.33454,4.932086
52.33455,4.93449
52.33456,4.936893
52.33457,4.939297
52.33458,4.941701
52.33459,4.944105
52.33459,4.946508
52.33461,4.948912
52.33461,4.951316
52.33462,4.95372
52.33463,4.956123
52.33464,4.958527
52.33465,4.960931
52.33466,4.963335
52.33467,4.965738
52.33467,4.968142
52.33468,4.970546
52.33469,4.97295
52.3347,4.975353
52.33555,4.823901
52.33556,4.826304
52.33557,4.828708
52.33558,4.831112
52.33559,4.833516
52.33561,4.835919
52.33562,4.838323
52.33563,4.840727
52.33564,4.843131
52.33565,4.845534
52.33566,4.847938
52.33567,4.850342
52.33568,4.852746
52.33569,4.85515
52.3357,4.857553
52.33572,4.859957
52.33572,4.862361
52.33574,4.864765
52.33575,4.867168
52.33576,4.869572
52.33577,4.871976
52.33578,4.87438
52.33579,4.876783
52.3358,4.879188
52.33581,4.881591
52.33582,4.883995
52.33583,4.886399
52.33584,4.888803
52.33585,4.891206
52.33586,4.89361
52.33587,4.896014
52.33588,4.898417
52.33589,4.900822
52.3359,4.903225
52.33591,4.905629
52.33592,4.908033
52.33593,4.910437
52.33594,4.91284
52.33595,4.915244
52.33596,4.917648
52.33597,4.920052
52.33598,4.922456
52.33599,4.92486
52.33599,4.927263
52.33601,4.929667
52.33601,4.932071
52.33602,4.934474
52.33603,4.936879
52.33604,4.939282
52.33605,4.941686
52.33606,4.94409
52.33607,4.946494
52.33608,4.948897
52.33609,4.951302
52.33609,4.953705
52.33611,4.956109
52.33611,4.958513
52.33612,4.960917
52.33613,4.963321
52.33614,4.965724
52.33615,4.968128
52.33615,4.970532
52.33616,4.972936
52.33617,4.97534
52.33702,4.823882
52.33703,4.826286
52.33704,4.82869
52.33706,4.831093
52.33707,4.833498
52.33708,4.835901
52.33709,4.838305
52.3371,4.840709
52.33711,4.843112
52.33712,4.845517
52.33713,4.84792
52.33714,4.850324
52.33715,4.852728
52.33717,4.855132
52.33718,4.857536
52.33719,4.85994
52.3372,4.862343
52.33721,4.864748
52.33722,4.867151
52.33723,4.869555
52.33724,4.871959
52.33725,4.874363
52.33726,4.876767
52.33727,4.87917
52.33728,4.881574
52.33729,4.883978
52.3373,4.886382
52.33731,4.888786
52.33732,4.89119
52.33733,4.893594
52.33734,4.895998
52.33735,4.898401
52.33736,4.900805
52.33737,4.903209
52.33738,4.905613
52.33739,4.908017
52.3374,4.910421
52.33741,4.912825
52.33742,4.915228
52.33743,4.917633
52.33744,4.920036
52.33745,4.92244
52.33746,4.924844
52.33747,4.927248
52.33748,4.929652
52.33749,4.932056
52.33749,4.93446
52.33751,4.936863
52.33751,4.939268
52.33752,4.941671
52.33753,4.944075
52.33754,4.946479
52.33755,4.948883
52.33756,4.951287
52.33757,4.953691
52.33758,4.956095
52.33759,4.958498
52.33759,4.960903
52.3376,4.963306
52.33761,4.96571
52.33762,4.968114
52.33763,4.970518
52.33764,4.972922
52.33765,4.975326
52.33849,4.823864
52.3385,4.826267
52.33852,4.828671
52.33853,4.831075
52.33854,4.833479
52.33855,4.835883
52.33856,4.838287
52.33857,4.840691
52.33858,4.843095
52.33859,4.845499
52.3386,4.847902
52.33862,4.850307
52.33863,4.85271
52.33864,4.855114
52.33865,4.857518
52.33866,4.859922
52.33867,4.862326
52.33868,4.86473
52.33869,4.867134
52.3387,4.869538
52.33871,4.871942
52.33872,4.874346
52.33873,4.87675
52.33875,4.879154
52.33875,4.881557
52.33876,4.883962
52.33878,4.886365
52.33878,4.88877
52.33879,4.891173
52.33881,4.893577
52.33881,4.895981
52.33883,4.898385
52.33883,4.900789
52.33884,4.903193
52.33886,4.905597
52.33886,4.908001
52.33887,4.910405
52.33888,4.912809
52.33889,4.915213
52.3389,4.917617
52.33891,4.920021
52.33892,4.922425
52.33893,4.924829
52.33894,4.927233
52.33895,4.929637
52.33896,4.932041
52.33897,4.934445
52.33898,4.936849
52.33899,4.939253
52.339,4.941657
52.339,4.944061
52.33901,4.946465
52.33902,4.948869
52.33903,4.951272
52.33904,4.953677
52.33905,4.95608
52.33906,4.958485
52.33907,4.960888
52.33907,4.963293
52.33908,4.965696
52.33909,4.968101
52.3391,4.970504
52.33911,4.972908
52.33912,4.975312
52.33997,4.823844
52.33998,4.826249
52.33999,4.828652
52.34,4.831057
52.34001,4.833461
52.34002,4.835865
52.34003,4.838269
52.34005,4.840672
52.34006,4.843077
52.34007,4.84548
52.34008,4.847885
52.34009,4.850288
52.3401,4.852693
52.34011,4.855097
52.34012,4.857501
52.34013,4.859905
52.34014,4.862309
52.34015,4.864713
52.34016,4.867117
52.34018,4.869521
52.34018,4.871925
52.34019,4.874329
52.34021,4.876733
52.34022,4.879137
52.34023,4.881541
52.34024,4.883945
52.34025,4.886349
52.34026,4.888753
52.34027,4.891157
52.34028,4.893561
52.34029,4.895965
52.3403,4.898369
52.34031,4.900773
52.34032,4.903177
52.34033,4.905581
52.34034,4.907985
52.34035,4.910389
52.34035,4.912793
52.34037,4.915197
52.34037,4.917601
52.34039,4.920005
52.34039,4.92241
52.3404,4.924813
52.34041,4.927217
52.34042,4.929622
52.34043,4.932025
52.34044,4.93443
52.34045,4.936834
52.34046,4.939238
52.34047,4.941642
52.34048,4.944046
52.34048,4.94645
52.3405,4.948854
52.3405,4.951258
52.34051,4.953662
52.34052,4.956066
52.34053,4.95847
52.34054,4.960874
52.34055,4.963278
52.34056,4.965683
52.34056,4.968087
52.34057,4.97049
52.34058,4.972895
52.34059,4.975299
52.34144,4.823826
52.34145,4.82623
52.34146,4.828634
52.34147,4.831038
52.34148,4.833442
52.3415,4.835846
52.34151,4.83825
52.34152,4.840654
52.34153,4.843059
52.34154,4.845463
52.34155,4.847867
52.34156,4.850271
52.34157,4.852675
52.34158,4.855079
52.34159,4.857483
52.34161,4.859887
52.34161,4.862291
52.34163,4.864696
52.34164,4.867099
52.34165,4.869503
52.34166,4.871908
52.34167,4.874312
52.34168,4.876716
52.34169,4.87912
52.3417,4.881524
52.34171,4.883928
52.34172,4.886332
52.34173,4.888736
52.34174,4.89114
52.34175,4.893545
52.34176,4.895949
52.34177,4.898353
52.34178,4.900757
52.34179,4.903161
52.3418,4.905565
52.34181,4.907969
52.34182,4.910373
